ID transportu,ID ciezarowki,Zuzycie paliwa,Typ paliwa,Data pomiaru,Emisja tlenkow wegla,Emisja tlenkow azotu,Emisja tlenkow siarki
31,8,109,ON,2020-03-12 03:54:00,1598.35,44.51,1.8
31,7,73,PB95,2020-04-26 05:23:34,487.29,73.99,3.78
31,6,881,ON,2020-05-14 05:55:40,594.32,40.54,7.86
31,5,564,LPG,2020-05-29 08:33:50,899.36,48.37,7.76
31,5,488,ON,2020-06-20 15:40:36,1575.64,64.1,6.8
31,5,770,PB95,2020-06-22 05:28:08,1543.67,37.88,5.34
31,3,982,ON,2020-06-25 12:32:51,1477.46,23.27,1.46
31,9,142,LPG,2020-06-28 20:43:10,1163.45,28.26,5.01
31,10,301,PB95,2023-06-12 00:01:05,758.45,36.53,3.3
31,6,513,ON,2023-08-05 16:07:52,1354.87,26.97,2.83
31,7,209,LPG,2023-08-06 11:08:53,546.09,64.71,3.85
31,1,96,LPG,2025-05-13 01:19:54,1501.47,41.62,7.49
31,4,395,LPG,2025-05-17 10:09:01,1609.36,36.6,6.94
31,6,885,LPG,2025-06-27 13:21:40,1377.36,46.6,1.64
31,0,428,ON,2025-07-17 22:35:18,1701.71,53.06,0.85
31,10,930,PB95,2025-07-20 10:23:01,1597.19,53.43,8.11
31,3,451,LPG,2025-07-26 02:00:35,520.68,66.77,3.42
31,3,516,PB95,2025-07-27 08:03:08,1571.07,30.37,8.53
31,7,595,ON,2025-07-28 13:44:29,1598.84,53.0,0.24
31,7,719,ON,2025-07-28 19:10:43,1419.95,33.05,7.97
31,7,25,PB95,2025-07-28 10:08:43,1572.36,48.26,7.43
31,5,91,ON,2025-07-28 07:58:52,1443.84,43.31,7.02
31,6,954,ON,2025-07-28 20:21:35,1549.19,43.23,7.66
31,2,421,LPG,2025-07-29 00:16:11,770.23,31.16,3.99
31,10,869,PB95,2025-07-28 02:57:10,648.97,52.64,4.91
31,9,559,LPG,2025-07-28 18:51:50,784.59,41.04,9.5
31,5,281,PB95,2025-07-28 01:15:13,1184.55,31.46,5.9
31,7,414,LPG,2025-07-28 23:36:09,1143.31,32.55,2.36
